v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   -19.800000                     0.000704          0.010414
   -19.700000                     0.000706          0.010437
   -19.600000                     0.000707          0.010459
   -19.500000                     0.000709          0.010482
   -19.400000                     0.000710          0.010504
   -19.300000                     0.000712          0.010527
   -19.200000                     0.000713          0.010550
   -19.100000                     0.000715          0.010573
   -19.000000                     0.000716          0.010595
   -18.900000                     0.000718          0.010618
   -18.800000                     0.000719          0.010642
   -18.700000                     0.000721          0.010665
   -18.600000                     0.000723          0.010688
   -18.500000                     0.000724          0.010711
   -18.400000                     0.000726          0.010735
   -18.300000                     0.000727          0.010758
   -18.200000                     0.000729          0.010782
   -18.100000                     0.000731          0.010806
   -18.000000                     0.000732          0.010829
   -17.900000                     0.000734          0.010853
   -17.800000                     0.000735          0.010877
   -17.700000                     0.000737          0.010901
   -17.600000                     0.000739          0.010925
   -17.500000                     0.000740          0.010950
   -17.400000                     0.000742          0.010974
   -17.300000                     0.000744          0.010999
   -17.200000                     0.000745          0.011023
   -17.100000                     0.000747          0.011048
   -17.000000                     0.000749          0.011072
   -16.900000                     0.000750          0.011097
   -16.800000                     0.000752          0.011122
   -16.700000                     0.000754          0.011147
   -16.600000                     0.000755          0.011172
   -16.500000                     0.000757          0.011198
   -16.400000                     0.000759          0.011223
   -16.300000                     0.000760          0.011248
   -16.200000                     0.000762          0.011274
   -16.100000                     0.000764          0.011299
   -16.000000                     0.000766          0.011325
   -15.900000                     0.000767          0.011351
   -15.800000                     0.000769          0.011377
   -15.700000                     0.000771          0.011403
   -15.600000                     0.000773          0.011429
   -15.500000                     0.000774          0.011455
   -15.400000                     0.000776          0.011481
   -15.300000                     0.000778          0.011508
   -15.200000                     0.000780          0.011534
   -15.100000                     0.000782          0.011561
   -15.000000                     0.000783          0.011588
   -14.900000                     0.000785          0.011615
   -14.800000                     0.000787          0.011642
   -14.700000                     0.000789          0.011669
   -14.600000                     0.000791          0.011696
   -14.500000                     0.000793          0.011723
   -14.400000                     0.000794          0.011751
   -14.300000                     0.000796          0.011778
   -14.200000                     0.000798          0.011806
   -14.100000                     0.000800          0.011833
   -14.000000                     0.000802          0.011861
   -13.900000                     0.000804          0.011889
   -13.800000                     0.000806          0.011917
   -13.700000                     0.000808          0.011946
   -13.600000                     0.000810          0.011974
   -13.500000                     0.000811          0.012002
   -13.400000                     0.000813          0.012031
   -13.300000                     0.000815          0.012060
   -13.200000                     0.000817          0.012088
   -13.100000                     0.000819          0.012117
   -13.000000                     0.000821          0.012146
   -12.900000                     0.000823          0.012175
   -12.800000                     0.000825          0.012205
   -12.700000                     0.000827          0.012234
   -12.600000                     0.000829          0.012264
   -12.500000                     0.000831          0.012293
   -12.400000                     0.000833          0.012323
   -12.300000                     0.000835          0.012353
   -12.200000                     0.000837          0.012383
   -12.100000                     0.000839          0.012413
   -12.000000                     0.000841          0.012443
   -11.900000                     0.000843          0.012474
   -11.800000                     0.000845          0.012504
   -11.700000                     0.000847          0.012535
   -11.600000                     0.000850          0.012566
   -11.500000                     0.000852          0.012597
   -11.400000                     0.000854          0.012628
   -11.300000                     0.000856          0.012659
   -11.200000                     0.000858          0.012690
   -11.100000                     0.000860          0.012722
   -11.000000                     0.000862          0.012753
   -10.900000                     0.000864          0.012785
   -10.800000                     0.000867          0.012817
   -10.700000                     0.000869          0.012849
   -10.600000                     0.000871          0.012881
   -10.500000                     0.000873          0.012914
   -10.400000                     0.000875          0.012946
   -10.300000                     0.000877          0.012979
   -10.200000                     0.000880          0.013011
   -10.100000                     0.000882          0.013044
   -10.000000                     0.000884          0.013077
    -9.900000                     0.000886          0.013110
    -9.800000                     0.000889          0.013144
    -9.700000                     0.000891          0.013177
    -9.600000                     0.000893          0.013211
    -9.500000                     0.000895          0.013245
    -9.400000                     0.000898          0.013278
    -9.300000                     0.000900          0.013313
    -9.200000                     0.000902          0.013347
    -9.100000                     0.000905          0.013381
    -9.000000                     0.000907          0.013416
