v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
    -4.100000                      41.613270          0.005685
    -4.000000                      41.673861          0.005694
    -3.900000                      41.734601          0.005702
    -3.800000                      41.795491          0.005710
    -3.700000                      41.856530          0.005719
    -3.600000                      41.917720          0.005727
    -3.500000                      41.979061          0.005735
    -3.400000                      42.040554          0.005744
    -3.300000                      42.102199          0.005752
    -3.200000                      42.163997          0.005761
    -3.100000                      42.225949          0.005769
    -3.000000                      42.288054          0.005778
    -2.900000                      42.350315          0.005786
    -2.800000                      42.412730          0.005795
    -2.700000                      42.475301          0.005803
    -2.600000                      42.538028          0.005812
    -2.500000                      42.600913          0.005820
    -2.400000                      42.663955          0.005829
    -2.300000                      42.727155          0.005838
    -2.200000                      42.790514          0.005846
    -2.100000                      42.854032          0.005855
    -2.000000                      42.917710          0.005864
    -1.900000                      42.981549          0.005872
    -1.800000                      43.045549          0.005881
    -1.700000                      43.109711          0.005890
    -1.600000                      43.174035          0.005899
    -1.500000                      43.238523          0.005907
    -1.400000                      43.303174          0.005916
    -1.300000                      43.367989          0.005925
    -1.200000                      43.432969          0.005934
    -1.100000                      43.498115          0.005943
    -1.000000                      43.563427          0.005952
    -0.900000                      43.628906          0.005961
    -0.800000                      43.694553          0.005970
    -0.700000                      43.760368          0.005979
    -0.600000                      43.826351          0.005988
    -0.500000                      43.892504          0.005997
    -0.400000                      43.958828          0.006006
    -0.300000                      44.025322          0.006015
    -0.200000                      44.091987          0.006024
    -0.100000                      44.158825          0.006033
     0.000000                      44.225836          0.006042
     0.100000                      44.293020          0.006051
     0.200000                      44.360379          0.006061
     0.300000                      44.427912          0.006070
     0.400000                      44.495621          0.006079
     0.500000                      44.563507          0.006088
     0.600000                      44.631569          0.006098
     0.700000                      44.699809          0.006107
     0.800000                      44.768227          0.006116
     0.900000                      44.836825          0.006126
     1.000000                      44.905603          0.006135
     1.100000                      44.974561          0.006145
     1.200000                      45.043700          0.006154
     1.300000                      45.113022          0.006163
     1.400000                      45.182526          0.006173
     1.500000                      45.252214          0.006183
     1.600000                      45.322086          0.006192
     1.700000                      45.392143          0.006202
     1.800000                      45.462385          0.006211
     1.900000                      45.532815          0.006221
     2.000000                      45.603431          0.006230
     2.100000                      45.674236          0.006240
     2.200000                      45.745229          0.006250
     2.300000                      45.816412          0.006260
     2.400000                      45.887785          0.006269
     2.500000                      45.959350          0.006279
     2.600000                      46.031106          0.006289
     2.700000                      46.103055          0.006299
     2.800000                      46.175198          0.006309
     2.900000                      46.247535          0.006318
     3.000000                      46.320067          0.006328
     3.100000                      46.392795          0.006338
     3.200000                      46.465719          0.006348
     3.300000                      46.538841          0.006358
     3.400000                      46.612162          0.006368
     3.500000                      46.685682          0.006378
     3.600000                      46.759401          0.006388
     3.700000                      46.833322          0.006399
     3.800000                      46.907444          0.006409
     3.900000                      46.981769          0.006419
     4.000000                      47.056298          0.006429
     4.100000                      47.131030          0.006439
     4.200000                      47.205968          0.006449
     4.300000                      47.281112          0.006460
     4.400000                      47.356462          0.006470
     4.500000                      47.432021          0.006480
     4.600000                      47.507787          0.006491
     4.700000                      47.583764          0.006501
     4.800000                      47.659951          0.006511
     4.900000                      47.736349          0.006522
     5.000000                      47.812960          0.006532
     5.100000                      47.889783          0.006543
     5.200000                      47.966821          0.006553
     5.300000                      48.044074          0.006564
     5.400000                      48.121542          0.006575
     5.500000                      48.199228          0.006585
     5.600000                      48.277131          0.006596
     5.700000                      48.355253          0.006606
     5.800000                      48.433594          0.006617
     5.900000                      48.512157          0.006628
     6.000000                      48.590940          0.006639
     6.100000                      48.669947          0.006649
     6.200000                      48.749177          0.006660
     6.300000                      48.828631          0.006671
     6.400000                      48.908311          0.006682
     6.500000                      48.988217          0.006693
     6.600000                      49.068351          0.006704
     6.700000                      49.148714          0.006715
     6.800000                      49.229305          0.006726
     6.900000                      49.310128          0.006737
     7.000000                      49.391182          0.006748
     7.100000                      49.472468          0.006759
     7.200000                      49.553988          0.006770
     7.300000                      49.635743          0.006781
     7.400000                      49.717734          0.006793
     7.500000                      49.799961          0.006804
     7.600000                      49.882426          0.006815
     7.700000                      49.965130          0.006826
     7.800000                      50.048074          0.006838
     7.900000                      50.131259          0.006849
     8.000000                      50.214686          0.006860
     8.100000                      50.298356          0.006872
     8.200000                      50.382271          0.006883
     8.300000                      50.466431          0.006895
     8.400000                      50.550838          0.006906
     8.500000                      50.635492          0.006918
     8.600000                      50.720395          0.006930
     8.700000                      50.805549          0.006941
     8.800000                      50.890953          0.006953
     8.900000                      50.976610          0.006965
     9.000000                      51.062520          0.006976
     9.100000                      51.148684          0.006988
     9.200000                      51.235105          0.007000
     9.300000                      51.321782          0.007012
     9.400000                      51.408718          0.007024
     9.500000                      51.495913          0.007036
     9.600000                      51.583368          0.007047
     9.700000                      51.671085          0.007059
     9.800000                      51.759066          0.007071
     9.900000                      51.847310          0.007084
    10.000000                      51.935820          0.007096
    10.100000                      52.024597          0.007108
    10.200000                      52.113642          0.007120
    10.300000                      52.202956          0.007132
    10.400000                      52.292540          0.007144
    10.500000                      52.382397          0.007157
    10.600000                      52.472526          0.007169
    10.700000                      52.562930          0.007181
    10.800000                      52.653610          0.007194
    10.900000                      52.744566          0.007206
    11.000000                      52.835801          0.007219
    11.100000                      52.927316          0.007231
    11.200000                      53.019112          0.007244
    11.300000                      53.111190          0.007256
    11.400000                      53.203552          0.007269
    11.500000                      53.296199          0.007281
    11.600000                      53.389132          0.007294
    11.700000                      53.482354          0.007307
    11.800000                      53.575865          0.007320
    11.900000                      53.669666          0.007333
    12.000000                      53.763760          0.007345
    12.100000                      53.858147          0.007358
    12.200000                      53.952829          0.007371
    12.300000                      54.047808          0.007384
