v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   -13.800000                     0.000873          0.013375
   -13.700000                     0.000876          0.013410
   -13.600000                     0.000878          0.013445
   -13.500000                     0.000880          0.013479
   -13.400000                     0.000883          0.013514
   -13.300000                     0.000885          0.013550
   -13.200000                     0.000887          0.013585
   -13.100000                     0.000889          0.013621
   -13.000000                     0.000892          0.013656
   -12.900000                     0.000894          0.013692
   -12.800000                     0.000896          0.013728
   -12.700000                     0.000899          0.013764
   -12.600000                     0.000901          0.013800
   -12.500000                     0.000904          0.013837
   -12.400000                     0.000906          0.013874
   -12.300000                     0.000908          0.013910
   -12.200000                     0.000911          0.013947
   -12.100000                     0.000913          0.013985
   -12.000000                     0.000916          0.014022
   -11.900000                     0.000918          0.014060
   -11.800000                     0.000921          0.014097
   -11.700000                     0.000923          0.014135
   -11.600000                     0.000926          0.014173
   -11.500000                     0.000928          0.014211
   -11.400000                     0.000931          0.014250
   -11.300000                     0.000933          0.014288
   -11.200000                     0.000936          0.014327
   -11.100000                     0.000938          0.014366
   -11.000000                     0.000941          0.014405
   -10.900000                     0.000943          0.014445
   -10.800000                     0.000946          0.014484
   -10.700000                     0.000948          0.014524
   -10.600000                     0.000951          0.014564
   -10.500000                     0.000954          0.014604
   -10.400000                     0.000956          0.014644
   -10.300000                     0.000959          0.014684
   -10.200000                     0.000962          0.014725
   -10.100000                     0.000964          0.014766
   -10.000000                     0.000967          0.014807
    -9.900000                     0.000970          0.014848
    -9.800000                     0.000972          0.014890
    -9.700000                     0.000975          0.014931
    -9.600000                     0.000978          0.014973
    -9.500000                     0.000981          0.015015
    -9.400000                     0.000983          0.015058
    -9.300000                     0.000986          0.015100
    -9.200000                     0.000989          0.015143
    -9.100000                     0.000992          0.015186
