v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   -10.100000                      72.381590          0.007918
   -10.000000                      72.485175          0.007929
    -9.900000                      72.589003          0.007941
    -9.800000                      72.693074          0.007952
    -9.700000                      72.797390          0.007963
    -9.600000                      72.901951          0.007975
    -9.500000                      73.006759          0.007986
    -9.400000                      73.111814          0.007998
    -9.300000                      73.217117          0.008009
    -9.200000                      73.322668          0.008021
    -9.100000                      73.428470          0.008032
    -9.000000                      73.534521          0.008044
    -8.900000                      73.640825          0.008056
    -8.800000                      73.747380          0.008067
    -8.700000                      73.854189          0.008079
    -8.600000                      73.961252          0.008091
    -8.500000                      74.068570          0.008103
    -8.400000                      74.176143          0.008114
    -8.300000                      74.283973          0.008126
    -8.200000                      74.392061          0.008138
    -8.100000                      74.500408          0.008150
    -8.000000                      74.609013          0.008162
    -7.900000                      74.717880          0.008174
    -7.800000                      74.827007          0.008185
    -7.700000                      74.936396          0.008197
    -7.600000                      75.046049          0.008209
    -7.500000                      75.155966          0.008221
    -7.400000                      75.266147          0.008234
    -7.300000                      75.376595          0.008246
    -7.200000                      75.487309          0.008258
    -7.100000                      75.598291          0.008270
    -7.000000                      75.709542          0.008282
    -6.900000                      75.821062          0.008294
    -6.800000                      75.932853          0.008306
    -6.700000                      76.044916          0.008319
    -6.600000                      76.157251          0.008331
    -6.500000                      76.269860          0.008343
    -6.400000                      76.382743          0.008356
    -6.300000                      76.495902          0.008368
    -6.200000                      76.609337          0.008380
    -6.100000                      76.723050          0.008393
    -6.000000                      76.837041          0.008405
    -5.900000                      76.951312          0.008418
    -5.800000                      77.065863          0.008430
    -5.700000                      77.180696          0.008443
    -5.600000                      77.295811          0.008456
    -5.500000                      77.411209          0.008468
    -5.400000                      77.526893          0.008481
    -5.300000                      77.642861          0.008494
    -5.200000                      77.759117          0.008506
    -5.100000                      77.875660          0.008519
    -5.000000                      77.992492          0.008532
    -4.900000                      78.109613          0.008545
    -4.800000                      78.227026          0.008557
    -4.700000                      78.344730          0.008570
    -4.600000                      78.462727          0.008583
    -4.500000                      78.581018          0.008596
    -4.400000                      78.699605          0.008609
    -4.300000                      78.818487          0.008622
    -4.200000                      78.937667          0.008635
    -4.100000                      79.057145          0.008648
    -4.000000                      79.176923          0.008661
    -3.900000                      79.297001          0.008674
    -3.800000                      79.417381          0.008688
    -3.700000                      79.538064          0.008701
    -3.600000                      79.659051          0.008714
    -3.500000                      79.780342          0.008727
    -3.400000                      79.901940          0.008741
    -3.300000                      80.023846          0.008754
    -3.200000                      80.146059          0.008767
    -3.100000                      80.268583          0.008781
    -3.000000                      80.391417          0.008794
    -2.900000                      80.514563          0.008808
    -2.800000                      80.638022          0.008821
    -2.700000                      80.761796          0.008835
    -2.600000                      80.885885          0.008848
    -2.500000                      81.010291          0.008862
    -2.400000                      81.135014          0.008876
    -2.300000                      81.260057          0.008889
    -2.200000                      81.385420          0.008903
    -2.100000                      81.511104          0.008917
    -2.000000                      81.637111          0.008930
    -1.900000                      81.763442          0.008944
    -1.800000                      81.890099          0.008958
    -1.700000                      82.017081          0.008972
    -1.600000                      82.144391          0.008986
    -1.500000                      82.272031          0.009000
    -1.400000                      82.400000          0.009014
    -1.300000                      82.528301          0.009028
    -1.200000                      82.656934          0.009042
    -1.100000                      82.785901          0.009056
    -1.000000                      82.915204          0.009070
    -0.900000                      83.044843          0.009084
    -0.800000                      83.174820          0.009099
    -0.700000                      83.305136          0.009113
    -0.600000                      83.435792          0.009127
    -0.500000                      83.566791          0.009142
    -0.400000                      83.698132          0.009156
    -0.300000                      83.829818          0.009170
    -0.200000                      83.961849          0.009185
    -0.100000                      84.094228          0.009199
     0.000000                      84.226955          0.009214
     0.100000                      84.360032          0.009228
     0.200000                      84.493460          0.009243
     0.300000                      84.627241          0.009258
     0.400000                      84.761375          0.009272
     0.500000                      84.895865          0.009287
     0.600000                      85.030712          0.009302
     0.700000                      85.165916          0.009316
     0.800000                      85.301481          0.009331
     0.900000                      85.437406          0.009346
     1.000000                      85.573694          0.009361
     1.100000                      85.710345          0.009376
     1.200000                      85.847362          0.009391
     1.300000                      85.984746          0.009406
     1.400000                      86.122498          0.009421
     1.500000                      86.260619          0.009436
     1.600000                      86.399111          0.009451
     1.700000                      86.537977          0.009467
     1.800000                      86.677216          0.009482
     1.900000                      86.816831          0.009497
     2.000000                      86.956823          0.009512
     2.100000                      87.097193          0.009528
     2.200000                      87.237944          0.009543
     2.300000                      87.379076          0.009559
     2.400000                      87.520592          0.009574
     2.500000                      87.662492          0.009590
     2.600000                      87.804779          0.009605
     2.700000                      87.947454          0.009621
     2.800000                      88.090518          0.009636
     2.900000                      88.233973          0.009652
     3.000000                      88.377821          0.009668
     3.100000                      88.522063          0.009684
     3.200000                      88.666701          0.009699
     3.300000                      88.811737          0.009715
     3.400000                      88.957171          0.009731
     3.500000                      89.103007          0.009747
     3.600000                      89.249244          0.009763
     3.700000                      89.395886          0.009779
     3.800000                      89.542934          0.009795
     3.900000                      89.690389          0.009811
     4.000000                      89.838253          0.009828
     4.100000                      89.986528          0.009844
     4.200000                      90.135215          0.009860
     4.300000                      90.284317          0.009876
     4.400000                      90.433834          0.009893
     4.500000                      90.583769          0.009909
     4.600000                      90.734124          0.009926
     4.700000                      90.884900          0.009942
     4.800000                      91.036098          0.009959
     4.900000                      91.187722          0.009975
     5.000000                      91.339772          0.009992
     5.100000                      91.492250          0.010009
     5.200000                      91.645158          0.010025
     5.300000                      91.798498          0.010042
     5.400000                      91.952272          0.010059
     5.500000                      92.106482          0.010076
     5.600000                      92.261129          0.010093
     5.700000                      92.416215          0.010110
     5.800000                      92.571742          0.010127
     5.900000                      92.727713          0.010144
     6.000000                      92.884128          0.010161
     6.100000                      93.040990          0.010178
     6.200000                      93.198301          0.010195
     6.300000                      93.356063          0.010212
     6.400000                      93.514277          0.010230
     6.500000                      93.672945          0.010247
     6.600000                      93.832071          0.010264
     6.700000                      93.991654          0.010282
     6.800000                      94.151698          0.010299
     6.900000                      94.312205          0.010317
     7.000000                      94.473176          0.010335
     7.100000                      94.634614          0.010352
     7.200000                      94.796520          0.010370
     7.300000                      94.958896          0.010388
     7.400000                      95.121746          0.010406
     7.500000                      95.285070          0.010423
     7.600000                      95.448870          0.010441
     7.700000                      95.613150          0.010459
     7.800000                      95.777910          0.010477
     7.900000                      95.943154          0.010495
     8.000000                      96.108883          0.010514
     8.100000                      96.275099          0.010532
     8.200000                      96.441804          0.010550
     8.300000                      96.609002          0.010568
     8.400000                      96.776693          0.010587
     8.500000                      96.944880          0.010605
     8.600000                      97.113566          0.010623
     8.700000                      97.282752          0.010642
     8.800000                      97.452440          0.010661
     8.900000                      97.622634          0.010679
     9.000000                      97.793335          0.010698
     9.100000                      97.964546          0.010717
     9.200000                      98.136268          0.010735
     9.300000                      98.308504          0.010754
     9.400000                      98.481257          0.010773
     9.500000                      98.654529          0.010792
     9.600000                      98.828322          0.010811
     9.700000                      99.002638          0.010830
     9.800000                      99.177480          0.010849
     9.900000                      99.352851          0.010868
    10.000000                      99.528752          0.010888
    10.100000                      99.705186          0.010907
    10.200000                      99.882156          0.010926
    10.300000                     100.059664          0.010946
    10.400000                     100.237713          0.010965
    10.500000                     100.416304          0.010985
    10.600000                     100.595441          0.011004
    10.700000                     100.775126          0.011024
    10.800000                     100.955361          0.011044
    10.900000                     101.136149          0.011064
    11.000000                     101.317494          0.011083
    11.100000                     101.499396          0.011103
    11.200000                     101.681859          0.011123
    11.300000                     101.864886          0.011143
    11.400000                     102.048479          0.011163
    11.500000                     102.232640          0.011183
    11.600000                     102.417373          0.011204
    11.700000                     102.602680          0.011224
    11.800000                     102.788564          0.011244
    11.900000                     102.975028          0.011265
    12.000000                     103.162073          0.011285
    12.100000                     103.349704          0.011306
    12.200000                     103.537922          0.011326
    12.300000                     103.726732          0.011347
    12.400000                     103.916134          0.011368
    12.500000                     104.106133          0.011388
    12.600000                     104.296731          0.011409
    12.700000                     104.487931          0.011430
    12.800000                     104.679735          0.011451
    12.900000                     104.872148          0.011472
    13.000000                     105.065171          0.011493
    13.100000                     105.258807          0.011514
    13.200000                     105.453061          0.011536
    13.300000                     105.647934          0.011557
    13.400000                     105.843429          0.011578
    13.500000                     106.039550          0.011600
    13.600000                     106.236300          0.011621
    13.700000                     106.433681          0.011643
    13.800000                     106.631698          0.011665
    13.900000                     106.830352          0.011686
    14.000000                     107.029647          0.011708
    14.100000                     107.229586          0.011730
    14.200000                     107.430173          0.011752
    14.300000                     107.631410          0.011774
    14.400000                     107.833301          0.011796
    14.500000                     108.035849          0.011818
    14.600000                     108.239058          0.011841
    14.700000                     108.442930          0.011863
    14.800000                     108.647468          0.011885
    14.900000                     108.852677          0.011908
    15.000000                     109.058560          0.011930
    15.100000                     109.265119          0.011953
    15.200000                     109.472359          0.011975
    15.300000                     109.680282          0.011998
    15.400000                     109.888892          0.012021
    15.500000                     110.098193          0.012044
    15.600000                     110.308189          0.012067
    15.700000                     110.518881          0.012090
    15.800000                     110.730275          0.012113
    15.900000                     110.942374          0.012136
    16.000000                     111.155181          0.012160
    16.100000                     111.368700          0.012183
    16.200000                     111.582935          0.012206
    16.300000                     111.797889          0.012230
    16.400000                     112.013565          0.012253
    16.500000                     112.229969          0.012277
    16.600000                     112.447103          0.012301
    16.700000                     112.664971          0.012325
    16.800000                     112.883577          0.012349
    16.900000                     113.102925          0.012373
    17.000000                     113.323018          0.012397
    17.100000                     113.543861          0.012421
    17.200000                     113.765458          0.012445
    17.300000                     113.987812          0.012469
    17.400000                     114.210927          0.012494
    17.500000                     114.434808          0.012518
    17.600000                     114.659458          0.012543
    17.700000                     114.884882          0.012568
    17.800000                     115.111083          0.012592
    17.900000                     115.338066          0.012617
    18.000000                     115.565834          0.012642
    18.100000                     115.794393          0.012667
    18.200000                     116.023746          0.012692
    18.300000                     116.253897          0.012717
    18.400000                     116.484851          0.012743
    18.500000                     116.716612          0.012768
    18.600000                     116.949184          0.012793
    18.700000                     117.182572          0.012819
    18.800000                     117.416780          0.012844
    18.900000                     117.651812          0.012870
    19.000000                     117.887674          0.012896
    19.100000                     118.124369          0.012922
    19.200000                     118.361902          0.012948
    19.300000                     118.600278          0.012974
    19.400000                     118.839500          0.013000
    19.500000                     119.079575          0.013026
    19.600000                     119.320506          0.013053
    19.700000                     119.562298          0.013079
    19.800000                     119.804957          0.013106
    19.900000                     120.048486          0.013132
    20.000000                     120.292890          0.013159
    20.100000                     120.538175          0.013186
    20.200000                     120.784345          0.013213
    20.300000                     121.031405          0.013240
    20.400000                     121.279361          0.013267
    20.500000                     121.528216          0.013294
    20.600000                     121.777977          0.013322
    20.700000                     122.028649          0.013349
    20.800000                     122.280235          0.013376
    20.900000                     122.532742          0.013404
    21.000000                     122.786175          0.013432
    21.100000                     123.040539          0.013460
    21.200000                     123.295839          0.013488
    21.300000                     123.552081          0.013516
    21.400000                     123.809270          0.013544
    21.500000                     124.067412          0.013572
    21.600000                     124.326511          0.013600
    21.700000                     124.586573          0.013629
    21.800000                     124.847605          0.013657
    21.900000                     125.109611          0.013686
    22.000000                     125.372597          0.013715
    22.100000                     125.636568          0.013744
    22.200000                     125.901532          0.013773
    22.300000                     126.167492          0.013802
    22.400000                     126.434456          0.013831
    22.500000                     126.702429          0.013860
    22.600000                     126.971416          0.013890
    22.700000                     127.241424          0.013919
    22.800000                     127.512460          0.013949
    22.900000                     127.784528          0.013979
    23.000000                     128.057635          0.014009
    23.100000                     128.331787          0.014038
    23.200000                     128.606990          0.014069
    23.300000                     128.883251          0.014099
    23.400000                     129.160576          0.014129
    23.500000                     129.438971          0.014160
    23.600000                     129.718443          0.014190
    23.700000                     129.998998          0.014221
    23.800000                     130.280643          0.014252
    23.900000                     130.563384          0.014283
    24.000000                     130.847228          0.014314
    24.100000                     131.132181          0.014345
    24.200000                     131.418250          0.014376
    24.300000                     131.705443          0.014408
    24.400000                     131.993766          0.014439
    24.500000                     132.283225          0.014471
    24.600000                     132.573828          0.014503
    24.700000                     132.865583          0.014534
    24.800000                     133.158495          0.014566
    24.900000                     133.452572          0.014599
    25.000000                     133.747822          0.014631
    25.100000                     134.044251          0.014663
    25.200000                     134.341867          0.014696
    25.300000                     134.640677          0.014729
    25.400000                     134.940690          0.014761
    25.500000                     135.241911          0.014794
    25.600000                     135.544350          0.014827
    25.700000                     135.848013          0.014861
    25.800000                     136.152909          0.014894
    25.900000                     136.459044          0.014928
    26.000000                     136.766428          0.014961
    26.100000                     137.075068          0.014995
    26.200000                     137.384971          0.015029
    26.300000                     137.696147          0.015063
    26.400000                     138.008603          0.015097
    26.500000                     138.322347          0.015131
    26.600000                     138.637388          0.015166
    26.700000                     138.953735          0.015200
    26.800000                     139.271394          0.015235
    26.900000                     139.590376          0.015270
    27.000000                     139.910688          0.015305
    27.100000                     140.232340          0.015340
    27.200000                     140.555340          0.015376
    27.300000                     140.879697          0.015411
    27.400000                     141.205419          0.015447
    27.500000                     141.532517          0.015483
    27.600000                     141.860998          0.015518
    27.700000                     142.190873          0.015555
    27.800000                     142.522149          0.015591
    27.900000                     142.854838          0.015627
    28.000000                     143.188948          0.015664
    28.100000                     143.524488          0.015700
    28.200000                     143.861468          0.015737
    28.300000                     144.199898          0.015774
    28.400000                     144.539788          0.015812
    28.500000                     144.881148          0.015849
    28.600000                     145.223987          0.015886
    28.700000                     145.568315          0.015924
    28.800000                     145.914144          0.015962
    28.900000                     146.261482          0.016000
    29.000000                     146.610340          0.016038
    29.100000                     146.960729          0.016076
    29.200000                     147.312660          0.016115
    29.300000                     147.666142          0.016154
    29.400000                     148.021187          0.016192
    29.500000                     148.377806          0.016231
    29.600000                     148.736009          0.016271
    29.700000                     149.095807          0.016310
